"","year","stand","trap","species","filledseeds","emptyseeds","cones","conefilledseeds","coneemptyseeds","totconeseeds"
"179",2018,"PP17",6,"PICO",2,1,0,0,0,0
"180",2018,"PP17",6,"PSME",5,5,0,0,0,0
"181",2018,"SPRY",1,"CANO",1,1,0,0,0,0
"182",2018,"SPRY",2,"TSME",0,1,0,0,0,0
"183",2018,"SPRY",3,"TSME",1,0,0,0,0,0
"184",2018,"SPRY",4,"TSME",4,0,1,9,5,14
"185",2018,"SPRY",6,"CANO",0,1,1,3,1,4
"186",2018,"SPRY",6,"TSME",1,0,0,0,0,0
"187",2018,"SUNR",1,"CANO",1,1,0,0,0,0
"188",2018,"SUNR",2,"CANO",1,1,0,0,0,0
"189",2018,"SUNR",3,"CANO",0,0,1,0,0,0
"190",2018,"SUNR",4,"CANO",0,5,0,0,0,0
"191",2018,"SUNR",5,"ABAM",0,1,0,0,0,0
"192",2018,"SUNR",5,"TSME",1,1,0,0,0,0
"193",2018,"SUNR",6,"ABAM",2,0,0,0,0,0
"194",2018,"TA01",1,"PSME",6,6,0,0,0,0
"195",2018,"TA01",1,"TSHE",22,3,1,4,0,4
"196",2018,"TA01",2,"PSME",7,6,0,0,0,0
"197",2018,"TA01",2,"TSHE",23,3,0,0,0,0
"198",2018,"TA01",3,"PSME",9,5,0,0,0,0
"199",2018,"TA01",3,"TSHE",18,1,0,0,0,0
"200",2018,"TA01",4,"PSME",5,5,0,0,0,0
"201",2018,"TA01",4,"TSHE",10,4,0,0,0,0
"202",2018,"TA01",5,"PSME",10,4,0,0,0,0
"203",2018,"TA01",5,"TSHE",7,2,0,0,0,0
"204",2018,"TA01",6,"PSME",10,3,2,9,18,27
"205",2018,"TA01",6,"TSHE",11,5,2,0,0,0
"206",2018,"TB13",1,"PSME",2,5,1,0,0,0
"207",2018,"TB13",1,"THPL",3,2,0,0,0,0
"208",2018,"TB13",1,"TSHE",10,19,9,0,0,0
"209",2018,"TB13",2,"PSME",4,3,0,0,0,0
"210",2018,"TB13",2,"THPL",4,10,2,0,0,0
"211",2018,"TB13",2,"TSHE",2,24,12,0,7,7
"212",2018,"TB13",3,"PSME",5,2,0,0,0,0
"213",2018,"TB13",3,"THPL",17,17,1,8,1,9
"214",2018,"TB13",3,"TSHE",60,13,10,3,0,3
"215",2018,"TB13",4,"PSME",7,3,1,1,12,13
"216",2018,"TB13",4,"THPL",10,9,5,4,2,6
"217",2018,"TB13",4,"TSHE",12,22,8,0,3,3
"218",2018,"TB13",5,"PSME",5,2,1,0,0,0
"219",2018,"TB13",5,"THPL",6,1,20,22,28,50
"220",2018,"TB13",5,"TSHE",4,19,11,1,3,4
"221",2018,"TB13",6,"PSME",4,0,0,0,0,0
"222",2018,"TB13",6,"THPL",11,18,27,36,17,53
"223",2018,"TB13",6,"TSHE",2,36,5,1,4,5
"224",2018,"TO04",1,"PSME",3,3,0,0,0,0
"225",2018,"TO04",1,"THPL",12,25,6,3,1,4
"226",2018,"TO04",1,"TSHE",90,39,29,55,12,67
"227",2018,"TO04",2,"PSME",1,1,0,0,0,0
"228",2018,"TO04",2,"THPL",32,29,3,2,0,2
"229",2018,"TO04",2,"TSHE",97,44,33,111,48,159
"230",2018,"TO04",3,"PSME",1,2,0,0,0,0
"231",2018,"TO04",3,"THPL",53,52,7,3,1,4
"232",2018,"TO04",3,"TSHE",93,25,2,3,2,5
"233",2018,"TO04",4,"PSME",2,2,0,0,0,0
"234",2018,"TO04",4,"THPL",46,54,14,14,13,27
"235",2018,"TO04",4,"TSHE",42,37,2,18,6,24
"236",2018,"TO04",5,"PSME",1,0,0,0,0,0
"237",2018,"TO04",5,"THPL",117,138,32,27,17,44
"238",2018,"TO04",5,"TSHE",95,30,0,0,0,0
"239",2018,"TO04",6,"PSME",1,0,0,0,0,0
"240",2018,"TO04",6,"THPL",42,65,40,31,37,68
"241",2018,"TO04",6,"TSHE",28,17,3,0,0,0
"242",2018,"TO11",1,"PSME",4,3,0,0,0,0
"243",2018,"TO11",1,"THPL",4,5,0,0,0,0
"244",2018,"TO11",1,"TSHE",82,55,13,7,10,17
"245",2018,"TO11",2,"PSME",5,5,0,0,0,0
"246",2018,"TO11",2,"THPL",1,6,0,0,0,0
"247",2018,"TO11",2,"TSHE",240,189,14,17,6,23
"248",2018,"TO11",3,"PSME",1,4,0,0,0,0
"249",2018,"TO11",3,"THPL",0,3,0,0,0,0
"250",2018,"TO11",3,"TSHE",77,66,43,23,13,36
"251",2018,"TO11",4,"PSME",2,2,0,0,0,0
"252",2018,"TO11",4,"THPL",4,2,0,0,0,0
"253",2018,"TO11",4,"TSHE",28,24,52,33,32,65
"254",2018,"TO11",5,"THPL",5,12,0,0,0,0
"255",2018,"TO11",5,"TSHE",34,51,61,42,42,84
"256",2018,"TO11",6,"PSME",1,0,1,2,0,2
"257",2018,"TO11",6,"THPL",7,4,0,0,0,0
"258",2018,"TO11",6,"TSHE",11,37,18,1,1,2
"259",2019,"AB08",1,"ABAM",2,1,0,0,0,0
"260",2019,"AB08",1,"PSME",8,2,0,0,0,0
"261",2019,"AB08",1,"THPL",9,1,0,0,0,0
"262",2019,"AB08",1,"TSHE",837,7,2,12,0,12
"263",2019,"AB08",1,"TSME",1,0,0,0,0,0
"264",2019,"AB08",2,"ABAM",0,1,0,0,0,0
"265",2019,"AB08",2,"CANO",1,0,0,0,0,0
"266",2019,"AB08",2,"PSME",2,4,0,0,0,0
"267",2019,"AB08",2,"THPL",4,0,0,0,0,0
"268",2019,"AB08",2,"TSHE",745,39,6,15,0,15
"269",2019,"AB08",3,"ABAM",1,0,0,0,0,0
"270",2019,"AB08",3,"PSME",4,3,0,0,0,0
"271",2019,"AB08",3,"THPL",9,0,0,0,0,0
"272",2019,"AB08",3,"TSHE",586,36,5,0,0,0
"273",2019,"AB08",4,"ABAM",1,0,0,0,0,0
"274",2019,"AB08",4,"ALRU",1,0,0,0,0,0
"275",2019,"AB08",4,"PSME",6,7,0,0,0,0
"276",2019,"AB08",4,"THPL",9,1,0,0,0,0
"277",2019,"AB08",4,"TSHE",588,25,9,4,0,4
"278",2019,"AB08",5,"ABAM",2,0,0,0,0,0
"279",2019,"AB08",5,"PSME",6,8,0,0,0,0
"280",2019,"AB08",5,"THPL",17,2,0,0,0,0
"281",2019,"AB08",5,"TSHE",627,72,12,3,2,5
"282",2019,"AB08",6,"PSME",4,5,0,0,0,0
"283",2019,"AB08",6,"THPL",16,0,0,0,0,0
"284",2019,"AB08",6,"TSHE",678,49,21,4,1,5
"285",2019,"AE10",1,"ABAM",34,7,0,1,0,1
"286",2019,"AE10",1,"CANO",28,2,0,0,0,0
"287",2019,"AE10",1,"TSME",2,0,0,0,0,0
"288",2019,"AE10",2,"ABAM",28,5,0,0,0,0
"289",2019,"AE10",2,"CANO",20,4,0,0,0,0
"290",2019,"AE10",2,"TSME",5,0,0,0,0,0
"291",2019,"AE10",3,"ABAM",25,7,0,0,2,2
"292",2019,"AE10",3,"CANO",54,10,0,0,0,0
"293",2019,"AE10",3,"TSME",12,1,0,0,0,0
"294",2019,"AE10",4,"ABAM",30,3,0,0,0,0
"295",2019,"AE10",4,"CANO",25,2,0,0,0,0
"296",2019,"AE10",4,"TSME",8,0,0,0,0,0
"297",2019,"AE10",5,"ABAM",45,12,0,0,1,1
"298",2019,"AE10",5,"CANO",58,1,0,0,0,0
"299",2019,"AE10",5,"TSME",15,0,0,0,0,0
"300",2019,"AE10",6,"ABAM",12,3,0,0,0,0
"301",2019,"AE10",6,"ABLA",5,4,0,0,0,0
"302",2019,"AE10",6,"ABPR",7,0,0,0,0,0
"303",2019,"AE10",6,"CANO",56,0,0,0,0,0
"304",2019,"AE10",6,"TSME",9,0,0,0,0,0
"305",2019,"AG05",1,"ABAM",10,6,0,0,0,0
"306",2019,"AG05",1,"PSME",23,16,0,0,0,0
"307",2019,"AG05",1,"THPL",232,65,1,0,0,0
"308",2019,"AG05",1,"TSHE",129,5,0,0,1,1
"309",2019,"AG05",2,"ABAM",11,4,0,0,0,0
"310",2019,"AG05",2,"PSME",19,6,0,0,0,0
"311",2019,"AG05",2,"THPL",187,52,1,0,4,4
"312",2019,"AG05",2,"TSHE",123,3,0,0,0,0
"313",2019,"AG05",3,"ABAM",19,12,0,0,2,2
"314",2019,"AG05",3,"PSME",23,7,0,0,0,0
"315",2019,"AG05",3,"THPL",171,75,5,3,1,4
"316",2019,"AG05",3,"TSHE",123,16,0,0,0,0
"317",2019,"AG05",4,"ABAM",12,8,0,1,8,9
"318",2019,"AG05",4,"PSME",12,17,0,0,0,0
"319",2019,"AG05",4,"THPL",175,116,8,27,5,32
"320",2019,"AG05",4,"TSHE",206,26,0,0,1,1
"321",2019,"AG05",5,"ABAM",10,22,0,0,0,0
"322",2019,"AG05",5,"PSME",33,16,0,0,0,0
"323",2019,"AG05",5,"THPL",510,62,23,102,34,136
"324",2019,"AG05",5,"TSHE",203,8,1,0,0,0
"325",2019,"AG05",5,"TSME",1,0,0,0,0,0
"326",2019,"AG05",6,"ABAM",9,6,0,0,0,0
"327",2019,"AG05",6,"ALRU",1,0,0,0,0,0
"328",2019,"AG05",6,"PSME",36,19,2,15,4,19
"329",2019,"AG05",6,"THPL",273,19,10,29,6,35
"330",2019,"AG05",6,"TSHE",305,21,0,0,0,0
"331",2019,"AM16",1,"ABAM",4,0,0,0,0,0
"332",2019,"AM16",1,"CANO",25,0,2,2,0,2
"333",2019,"AM16",1,"TSHE",182,6,0,0,0,0
"334",2019,"AM16",1,"TSME",27,2,0,0,0,0
"335",2019,"AM16",2,"ABAM",4,0,0,0,0,0
"336",2019,"AM16",2,"CANO",25,1,1,13,0,13
"337",2019,"AM16",2,"PSME",1,3,0,0,0,0
"338",2019,"AM16",2,"TSHE",409,9,0,0,0,0
"339",2019,"AM16",2,"TSME",33,3,0,0,0,0
"340",2019,"AM16",3,"ABAM",2,0,0,0,0,0
"341",2019,"AM16",3,"CANO",22,1,0,0,0,0
"342",2019,"AM16",3,"TSHE",214,3,0,0,0,0
"343",2019,"AM16",3,"TSME",63,2,0,0,0,0
"344",2019,"AM16",4,"ABAM",1,1,0,0,0,0
"345",2019,"AM16",4,"CANO",19,2,1,0,0,0
"346",2019,"AM16",4,"TSHE",132,10,0,0,0,0
"347",2019,"AM16",4,"TSME",48,1,0,0,0,0
"348",2019,"AM16",5,"ABAM",1,0,0,0,0,0
"349",2019,"AM16",5,"ALVI",2,0,0,0,0,0
"350",2019,"AM16",5,"CANO",66,11,5,4,1,5
"351",2019,"AM16",5,"PSME",2,2,0,0,0,0
"352",2019,"AM16",5,"THPL",0,1,0,0,0,0
"353",2019,"AM16",5,"TSHE",218,12,0,0,0,0
"354",2019,"AM16",5,"TSME",66,4,0,0,0,0
"355",2019,"AM16",6,"CANO",92,24,14,9,0,9
"356",2019,"AM16",6,"PSME",1,0,0,0,0,0
"357",2019,"AM16",6,"TSHE",250,27,0,0,0,0
"358",2019,"AM16",6,"TSME",47,2,0,0,0,0
"359",2019,"AO03",4,"ABAM",7,2,0,1,0,1
"360",2019,"AO03",4,"PSME",40,45,2,32,8,40
"361",2019,"AO03",4,"THPL",1098,55,10,69,2,71
"362",2019,"AO03",4,"TSHE",555,56,8,16,3,19
"363",2019,"AO03",5,"ABAM",9,2,0,0,0,0
"364",2019,"AO03",5,"PSME",73,28,5,37,26,63
"365",2019,"AO03",5,"THPL",832,303,1,0,2,2
"366",2019,"AO03",5,"TSHE",393,64,5,19,2,21
"367",2019,"AO03",6,"ABAM",3,2,0,0,0,0
"368",2019,"AO03",6,"PSME",18,12,9,1,3,4
"369",2019,"AO03",6,"THPL",410,313,1,2,3,5
"370",2019,"AO03",6,"TSHE",246,45,2,1,3,4
"371",2019,"AR07",1,"ABAM",5,1,0,0,0,0
"372",2019,"AR07",1,"CANO",60,1,5,17,0,17
"373",2019,"AR07",1,"TSME",111,4,1,0,0,0
"374",2019,"AR07",2,"ABAM",15,4,0,0,0,0
"375",2019,"AR07",2,"CANO",90,0,15,2,37,39
"376",2019,"AR07",2,"TSME",105,11,0,0,0,0
"377",2019,"AR07",3,"ABAM",6,4,0,0,0,0
"378",2019,"AR07",3,"CANO",52,3,9,13,0,13
"379",2019,"AR07",3,"TSME",105,4,0,0,0,0
"380",2019,"AR07",4,"ABAM",8,1,0,0,0,0
"381",2019,"AR07",4,"CANO",20,2,0,0,0,0
"382",2019,"AR07",4,"TSME",78,8,0,0,0,0
"383",2019,"AR07",5,"ABAM",11,3,0,0,0,0
"384",2019,"AR07",5,"CANO",13,1,2,3,1,4
"385",2019,"AR07",5,"TSME",56,18,1,0,5,5
"386",2019,"AR07",6,"ABAM",10,6,0,0,0,0
"387",2019,"AR07",6,"CANO",35,2,8,26,0,26
"388",2019,"AR07",6,"TSME",118,4,0,0,0,0
"389",2019,"AV02",1,"ABAM",5,2,0,0,0,0
"390",2019,"AV02",1,"PSME",2,0,0,0,0,0
"391",2019,"AV02",1,"THPL",25,6,0,0,0,0
"392",2019,"AV02",1,"TSHE",700,85,4,1,0,1
"393",2019,"AV02",2,"ABAM",11,8,0,0,0,0
"394",2019,"AV02",2,"THPL",27,0,0,0,0,0
"395",2019,"AV02",2,"TSHE",447,100,8,1,0,1
"396",2019,"AV02",3,"ABAM",14,3,0,0,0,0
"397",2019,"AV02",3,"PSME",0,3,0,0,0,0
"398",2019,"AV02",3,"THPL",24,1,0,0,0,0
"399",2019,"AV02",3,"TSHE",492,66,7,3,0,3
"400",2019,"AV02",4,"ABAM",8,6,0,0,0,0
"401",2019,"AV02",4,"PSME",0,1,0,0,0,0
"402",2019,"AV02",4,"THPL",16,0,0,0,0,0
"403",2019,"AV02",4,"TSHE",358,59,10,12,0,12
"404",2019,"AV02",5,"ABAM",22,16,0,0,1,1
"405",2019,"AV02",5,"PSME",2,0,0,0,0,0
"406",2019,"AV02",5,"THPL",21,0,0,0,0,0
"407",2019,"AV02",5,"TSHE",636,79,2,0,0,0
"408",2019,"AV02",6,"ABAM",34,27,0,1,2,3
"409",2019,"AV02",6,"THPL",14,5,0,0,0,0
"410",2019,"AV02",6,"TSHE",370,15,1,0,0,0
"411",2019,"AV06",1,"ABAM",3,1,0,0,0,0
"412",2019,"AV06",1,"PSME",7,1,0,0,0,0
"413",2019,"AV06",1,"THPL",4,1,0,0,0,0
"414",2019,"AV06",1,"TSHE",220,12,1,0,0,0
"415",2019,"AV06",2,"ABAM",3,1,0,0,0,0
"416",2019,"AV06",2,"PSME",6,5,0,0,0,0
"417",2019,"AV06",2,"THPL",5,0,0,0,0,0
"418",2019,"AV06",2,"TSHE",191,6,18,0,3,3
"419",2019,"AV06",3,"ABAM",4,4,0,0,0,0
"420",2019,"AV06",3,"PSME",4,4,0,0,0,0
"421",2019,"AV06",3,"THPL",2,1,0,0,0,0
"422",2019,"AV06",3,"TSHE",212,9,0,0,0,0
"423",2019,"AV06",4,"ABAM",10,7,0,1,1,2
"424",2019,"AV06",4,"PSME",7,1,0,0,0,0
"425",2019,"AV06",4,"THPL",6,1,0,0,0,0
"426",2019,"AV06",4,"TSHE",204,17,14,5,2,7
"427",2019,"AV06",5,"ABAM",13,10,0,0,0,0
"428",2019,"AV06",5,"CANO",1,0,0,0,0,0
"429",2019,"AV06",5,"PSME",5,0,0,0,0,0
"430",2019,"AV06",5,"THPL",8,4,0,0,0,0
"431",2019,"AV06",5,"TSHE",197,20,0,0,0,0
"432",2019,"AV06",6,"ABAM",9,7,0,0,0,0
"433",2019,"AV06",6,"PSME",8,5,0,0,0,0
"434",2019,"AV06",6,"THPL",2,4,0,0,0,0
"435",2019,"AV06",6,"TSHE",106,4,0,0,0,0
"436",2019,"AV14",1,"ABAM",3,5,0,0,1,1
"437",2019,"AV14",1,"THPL",1,0,0,0,0,0
"438",2019,"AV14",1,"TSHE",990,13,14,30,2,32
"439",2019,"AV14",2,"ABAM",1,0,0,0,0,0
"440",2019,"AV14",2,"CANO",1,1,0,0,0,0
"441",2019,"AV14",2,"PSME",1,0,0,0,0,0
"442",2019,"AV14",2,"THPL",1,0,0,0,0,0
"443",2019,"AV14",2,"TSHE",1042,53,8,50,3,53
"444",2019,"AV14",3,"ABAM",8,8,0,0,0,0
"445",2019,"AV14",3,"TSHE",1238,237,134,263,88,351
"446",2019,"AV14",4,"ABAM",6,2,0,0,0,0
"447",2019,"AV14",4,"TSHE",1256,83,62,214,0,214
"448",2019,"AV14",5,"ABAM",5,5,0,0,0,0
"449",2019,"AV14",5,"PSME",2,0,0,0,0,0
"450",2019,"AV14",5,"TSHE",596,133,39,33,13,46
"451",2019,"AV14",6,"ABAM",8,0,0,0,0,0
"452",2019,"AV14",6,"CANO",3,0,0,0,0,0
"453",2019,"AV14",6,"TSHE",830,37,8,55,6,61
"454",2019,"AX15",1,"PSME",2,0,0,0,0,0
"455",2019,"AX15",1,"THPL",74,16,4,10,0,10
